airport_code,year,month,operations_total,itinerant_ops,local_ops
MDW,2025,3,2345,1716,629
MDW,2025,4,2292,1677,615
MDW,2025,5,2665,1950,715
MDW,2025,6,2570,1881,689
MDW,2025,7,2989,2187,802
MDW,2025,8,2692,1970,722
MDW,2025,9,2432,1780,652
MDW,2025,10,2503,1832,671
MDW,2025,11,2315,1694,621
MDW,2025,12,2412,1765,647
MDW,2026,1,2067,1513,554
MDW,2026,2,2053,1502,551
MDW,2026,3,2513,1839,674
MDW,2026,4,2433,1780,653
MDW,2026,5,2591,1896,695
MHT,2024,6,1715,1157,558
MHT,2024,7,1718,1159,559
MHT,2024,8,1783,1203,580
MHT,2024,9,1597,1078,519
MHT,2024,10,1452,980,472
MHT,2024,11,1398,943,455
MHT,2024,12,1408,950,458
MHT,2025,1,1305,881,424
MHT,2025,2,1246,841,405
MHT,2025,3,1443,974,469
MHT,2025,4,1497,1010,487
MHT,2025,5,1669,1126,543
MHT,2025,6,1776,1198,578
MHT,2025,7,1768,1193,575
MHT,2025,8,1877,1267,610
MHT,2025,9,1479,998,481
MHT,2025,10,1549,1045,504
MHT,2025,11,1461,986,475
MHT,2025,12,1495,1009,486
MHT,2026,1,1311,885,426
MHT,2026,2,1324,893,431
MHT,2026,3,1447,976,471
MHT,2026,4,1578,1065,513
MHT,2026,5,1667,1125,542
MIA,2024,6,34344,31977,2367
MIA,2024,7,35688,33228,2460
MIA,2024,8,35502,33055,2447
MIA,2024,9,34479,32103,2376
MIA,2024,10,29201,27188,2013
MIA,2024,11,26688,24849,1839
MIA,2024,12,29884,27824,2060
MIA,2025,1,25797,24019,1778
MIA,2025,2,28268,26320,1948
MIA,2025,3,29676,27631,2045
MIA,2025,4,31754,29565,2189
MIA,2025,5,33069,30790,2279
MIA,2025,6,34261,31900,2361
MIA,2025,7,38169,35538,2631
MIA,2025,8,37571,34981,2590
MIA,2025,9,30618,28508,2110
MIA,2025,10,30610,28500,2110
MIA,2025,11,29097,27091,2006
MIA,2025,12,28893,26902,1991
MIA,2026,1,27588,25686,1902
MIA,2026,2,27422,25532,1890
MIA,2026,3,29165,27155,2010
MIA,2026,4,34003,31659,2344
MIA,2026,5,30709,28592,2117
MSP,2024,6,34040,32405,1635
MSP,2024,7,36351,34605,1746
MSP,2024,8,37451,35652,1799
MSP,2024,9,30015,28573,1442
MSP,2024,10,31356,29850,1506
MSP,2024,11,27338,26025,1313
MSP,2024,12,28127,26776,1351
MSP,2025,1,26623,25344,1279
MSP,2025,2,27972,26629,1343
MSP,2025,3,30307,28851,1456
MSP,2025,4,33403,31799,1604
MSP,2025,5,34238,32594,1644
MSP,2025,6,35735,34019,1716
MSP,2025,7,36488,34736,1752
MSP,2025,8,39221,37337,1884
MSP,2025,9,31813,30285,1528
MSP,2025,10,32774,31200,1574
MSP,2025,11,29245,27840,1405
MSP,2025,12,30139,28692,1447
MSP,2026,1,27279,25969,1310
MSP,2026,2,28019,26673,1346
MSP,2026,3,30970,29483,1487
MSP,2026,4,34066,32430,1636
MSP,2026,5,36049,34318,1731
MSY,2024,6,18399,16465,1934
MSY,2024,7,16614,14868,1746
MSY,2024,8,17491,15653,1838
MSY,2024,9,14036,12561,1475
MSY,2024,10,15103,13516,1587
MSY,2024,11,14878,13314,1564
MSY,2024,12,15220,13620,1600
MSY,2025,1,12989,11624,1365
MSY,2025,2,12817,11470,1347
MSY,2025,3,14342,12835,1507
MSY,2025,4,15338,13726,1612
MSY,2025,5,16449,14720,1729
MSY,2025,6,18457,16517,1940
MSY,2025,7,18431,16494,1937
MSY,2025,8,18448,16509,1939
MSY,2025,9,14839,13279,1560
MSY,2025,10,15424,13803,1621
MSY,2025,11,13976,12507,1469
MSY,2025,12,14846,13286,1560
MSY,2026,1,13452,12038,1414
MSY,2026,2,13028,11659,1369
MSY,2026,3,15664,14018,1646
MSY,2026,4,15769,14112,1657
MSY,2026,5,16352,14633,1719
MVY,2024,6,3318,1922,1396
MVY,2024,7,3277,1898,1379
MVY,2024,8,3447,1997,1450
MVY,2024,9,2795,1619,1176
MVY,2024,10,2865,1659,1206
MVY,2024,11,2608,1511,1097
MVY,2024,12,2594,1502,1092
MVY,2025,1,2359,1366,993
MVY,2025,2,2482,1438,1044
MVY,2025,3,2760,1599,1161
MVY,2025,4,2915,1688,1227
MVY,2025,5,2884,1670,1214
MVY,2025,6,3200,1853,1347
MVY,2025,7,3390,1963,1427
MVY,2025,8,3461,2005,1456
MVY,2025,9,2814,1630,1184
MVY,2025,10,2557,1481,1076
MVY,2025,11,2536,1469,1067
MVY,2025,12,2766,1602,1164
MVY,2026,1,2482,1438,1044
MVY,2026,2,2442,1414,1028
MVY,2026,3,2597,1504,1093
MVY,2026,4,2825,1636,1189
MVY,2026,5,2784,1612,1172
NPT,2024,6,1161,677,484
NPT,2024,7,1341,782,559
NPT,2024,8,1244,725,519
NPT,2024,9,1083,631,452
NPT,2024,10,990,577,413
NPT,2024,11,1001,584,417
NPT,2024,12,1016,592,424
NPT,2025,1,826,482,344
NPT,2025,2,891,520,371
NPT,2025,3,1048,611,437
NPT,2025,4,1089,635,454
NPT,2025,5,1050,612,438
NPT,2025,6,1258,733,525
NPT,2025,7,1412,823,589
NPT,2025,8,1291,753,538
NPT,2025,9,1130,659,471
NPT,2025,10,1029,600,429
NPT,2025,11,967,564,403
NPT,2025,12,1007,587,420
NPT,2026,1,959,559,400
NPT,2026,2,900,525,375
NPT,2026,3,1013,591,422
NPT,2026,4,1043,608,435
NPT,2026,5,1161,677,484
OAK,2024,6,13152,12068,1084
OAK,2024,7,13720,12589,1131
OAK,2024,8,13830,12690,1140
OAK,2024,9,12185,11181,1004
OAK,2024,10,11896,10915,981
OAK,2024,11,10437,9577,860
OAK,2024,12,10789,9900,889
OAK,2025,1,10126,9291,835
OAK,2025,2,10356,9502,854
OAK,2025,3,10968,10064,904
OAK,2025,4,11884,10904,980
OAK,2025,5,12750,11699,1051
OAK,2025,6,13014,11941,1073
OAK,2025,7,14005,12851,1154
OAK,2025,8,14682,13472,1210
OAK,2025,9,11973,10986,987
OAK,2025,10,12069,11074,995
OAK,2025,11,10725,9841,884
OAK,2025,12,12101,11103,998
OAK,2026,1,9861,9048,813
OAK,2026,2,10836,9943,893
OAK,2026,3,11395,10456,939
OAK,2026,4,13335,12236,1099
OAK,2026,5,12553,11518,1035
ORD,2024,6,37740,36055,1685
ORD,2024,7,38390,36676,1714
ORD,2024,8,38202,36496,1706
ORD,2024,9,34391,32855,1536
ORD,2024,10,33435,31942,1493
ORD,2024,11,30455,29095,1360
ORD,2024,12,31765,30346,1419
ORD,2025,1,28495,27222,1273
ORD,2025,2,28886,27596,1290
ORD,2025,3,30818,29442,1376
ORD,2025,4,33814,32304,1510
ORD,2025,5,35765,34168,1597
ORD,2025,6,39312,37556,1756
ORD,2025,7,39619,37850,1769
ORD,2025,8,41758,39893,1865
ORD,2025,9,33461,31967,1494
ORD,2025,10,34391,32855,1536
ORD,2025,11,32189,30751,1438
ORD,2025,12,33776,32268,1508
ORD,2026,1,28796,27510,1286
ORD,2026,2,29866,28532,1334
ORD,2026,3,30171,28824,1347
ORD,2026,4,35479,33895,1584
ORD,2026,5,38312,36601,1711
ORH,2024,6,3395,1870,1525
ORH,2024,7,3259,1795,1464
ORH,2024,8,3118,1717,1401
ORH,2024,9,2910,1603,1307
ORH,2024,10,2744,1511,1233
ORH,2024,11,2426,1336,1090
ORH,2024,12,2566,1413,1153
ORH,2025,1,2215,1220,995
ORH,2025,2,2194,1208,986
ORH,2025,3,2523,1390,1133
ORH,2025,4,2377,1309,1068
ORH,2025,5,2693,1483,1210
ORH,2025,6,3087,1700,1387
ORH,2025,7,3378,1861,1517
ORH,2025,8,3147,1733,1414
ORH,2025,9,2775,1528,1247
ORH,2025,10,2872,1582,1290
ORH,2025,11,2431,1339,1092
ORH,2025,12,2600,1432,1168
ORH,2026,1,2284,1258,1026
ORH,2026,2,2110,1162,948
ORH,2026,3,2573,1417,1156
ORH,2026,4,2500,1377,1123
ORH,2026,5,3020,1663,1357
PDX,2024,6,8877,7387,1490
PDX,2024,7,8962,7457,1505
PDX,2024,8,8607,7162,1445
PDX,2024,9,7822,6509,1313
PDX,2024,10,7602,6326,1276
PDX,2024,11,6541,5443,1098
PDX,2024,12,7973,6635,1338
PDX,2025,1,6804,5662,1142
PDX,2025,2,6581,5476,1105
PDX,2025,3,7532,6268,1264
PDX,2025,4,8430,7015,1415
PDX,2025,5,8267,6879,1388
PDX,2025,6,8831,7348,1483
PDX,2025,7,9742,8107,1635
PDX,2025,8,9830,8180,1650
PDX,2025,9,8335,6936,1399
PDX,2025,10,8098,6739,1359
PDX,2025,11,7830,6516,1314
PDX,2025,12,8069,6714,1355
PDX,2026,1,7204,5995,1209
PDX,2026,2,7113,5919,1194
PDX,2026,3,7783,6476,1307
PDX,2026,4,8640,7190,1450
PDX,2026,5,8681,7224,1457
PHL,2024,6,28679,27639,1040
PHL,2024,7,30276,29178,1098
PHL,2024,8,29651,28576,1075
PHL,2024,9,26216,25265,951
PHL,2024,10,27014,26035,979
PHL,2024,11,23234,22392,842
PHL,2024,12,23266,22422,844
PHL,2025,1,21669,20883,786
PHL,2025,2,22267,21460,807
PHL,2025,3,24177,23300,877
PHL,2025,4,25054,24146,908
PHL,2025,5,26336,25381,955
PHL,2025,6,29195,28136,1059
PHL,2025,7,30790,29674,1116
PHL,2025,8,28938,27889,1049
PHL,2025,9,25702,24770,932
PHL,2025,10,24938,24034,904
PHL,2025,11,24204,23326,878
PHL,2025,12,24419,23534,885
PHL,2026,1,22271,21463,808
PHL,2026,2,24103,23229,874
PHL,2026,3,24081,23208,873
PHL,2026,4,23763,22901,862
PHL,2026,5,26765,25795,970
PHX,2024,6,38439,37161,1278
PHX,2024,7,40513,39166,1347
PHX,2024,8,40499,39153,1346
PHX,2024,9,32895,31801,1094
PHX,2024,10,30493,29479,1014
PHX,2024,11,30314,29306,1008
PHX,2024,12,30836,29811,1025
PHX,2025,1,28645,27693,952
PHX,2025,2,28658,27705,953
PHX,2025,3,30694,29674,1020
PHX,2025,4,34241,33103,1138
PHX,2025,5,35326,34152,1174
PHX,2025,6,36471,35258,1213
PHX,2025,7,40394,39051,1343
PHX,2025,8,40746,39391,1355
PHX,2025,9,34583,33433,1150
PHX,2025,10,34640,33488,1152
PHX,2025,11,31003,29972,1031
PHX,2025,12,35815,34624,1191
PHX,2026,1,28856,27897,959
PHX,2026,2,30549,29533,1016
PHX,2026,3,32232,31160,1072
PHX,2026,4,37810,36553,1257
PHX,2026,5,38625,37341,1284
PQI,2024,6,4021,2662,1359
PQI,2024,7,4230,2800,1430
PQI,2024,8,4224,2797,1427
PQI,2024,9,3348,2217,1131
PQI,2024,10,3217,2130,1087
PQI,2024,11,3088,2044,1044
PQI,2024,12,3174,2101,1073
PQI,2025,1,2755,1824,931
PQI,2025,2,2789,1846,943
PQI,2025,3,3145,2082,1063
PQI,2025,4,3483,2306,1177
PQI,2025,5,3573,2366,1207
PQI,2025,6,3950,2615,1335
PQI,2025,7,3907,2587,1320
PQI,2025,8,3671,2430,1241
PQI,2025,9,3681,2437,1244
PQI,2025,10,3590,2377,1213
PQI,2025,11,2866,1897,969
PQI,2025,12,3224,2134,1090
PQI,2026,1,2905,1923,982
PQI,2026,2,2782,1842,940
PQI,2026,3,3172,2100,1072
PQI,2026,4,3232,2140,1092
PQI,2026,5,3217,2130,1087
PSM,2024,6,577,330,247
PSM,2024,7,611,349,262
PSM,2024,8,618,353,265
PSM,2024,9,504,288,216
PSM,2024,10,526,301,225
PSM,2024,11,474,271,203
PSM,2024,12,467,267,200
PSM,2025,1,441,252,189
PSM,2025,2,464,265,199
PSM,2025,3,471,269,202
PSM,2025,4,565,323,242
PSM,2025,5,551,315,236
PSM,2025,6,646,369,277
PSM,2025,7,673,385,288
PSM,2025,8,653,373,280
PSM,2025,9,587,336,251
PSM,2025,10,549,314,235
PSM,2025,11,527,301,226
PSM,2025,12,546,312,234
PSM,2026,1,515,294,221
PSM,2026,2,480,274,206
PSM,2026,3,518,296,222
PSM,2026,4,542,310,232
PSM,2026,5,552,316,236
PVD,2024,6,12704,10938,1766
PVD,2024,7,12360,10642,1718
PVD,2024,8,12149,10460,1689
PVD,2024,9,11327,9752,1575
PVD,2024,10,11129,9582,1547
PVD,2024,11,10056,8658,1398
PVD,2024,12,10796,9295,1501
PVD,2025,1,9758,8402,1356
PVD,2025,2,8897,7660,1237
PVD,2025,3,9821,8456,1365
PVD,2025,4,11894,10241,1653
PVD,2025,5,11837,10192,1645
PVD,2025,6,12944,11145,1799
PVD,2025,7,13849,11924,1925
PVD,2025,8,13264,11420,1844
PVD,2025,9,11624,10008,1616
PVD,2025,10,10397,8952,1445
PVD,2025,11,9553,8225,1328
PVD,2025,12,11180,9626,1554
PVD,2026,1,9529,8204,1325
PVD,2026,2,9883,8509,1374
PVD,2026,3,11275,9708,1567
PVD,2026,4,11038,9504,1534
PVD,2026,5,12116,10432,1684
PWM,2024,6,14278,12277,2001
PWM,2024,7,16135,13874,2261
PWM,2024,8,15646,13453,2193
PWM,2024,9,12689,10911,1778
PWM,2024,10,14057,12087,1970
PWM,2024,11,12641,10869,1772
PWM,2024,12,12671,10895,1776
PWM,2025,1,12023,10338,1685
PWM,2025,2,11032,9486,1546
PWM,2025,3,13578,11675,1903
PWM,2025,4,13963,12006,1957
PWM,2025,5,14872,12788,2084
PWM,2025,6,16354,14062,2292
PWM,2025,7,17011,14627,2384
PWM,2025,8,16800,14445,2355
PWM,2025,9,13703,11782,1921
PWM,2025,10,14478,12449,2029
PWM,2025,11,13023,11198,1825
PWM,2025,12,13843,11903,1940
PWM,2026,1,11757,10109,1648
PWM,2026,2,12329,10601,1728
PWM,2026,3,14219,12226,1993
PWM,2026,4,15303,13158,2145
PWM,2026,5,15475,13306,2169
RDU,2024,6,9236,8044,1192
RDU,2024,7,9820,8553,1267
RDU,2024,8,9006,7844,1162
RDU,2024,9,7973,6944,1029
RDU,2024,10,8099,7054,1045
RDU,2024,11,6347,5528,819
RDU,2024,12,8005,6972,1033
RDU,2025,1,6812,5933,879
RDU,2025,2,6714,5848,866
RDU,2025,3,7791,6786,1005
RDU,2025,4,7958,6931,1027
RDU,2025,5,8354,7276,1078
RDU,2025,6,8848,7706,1142
RDU,2025,7,9781,8519,1262
RDU,2025,8,9996,8706,1290
RDU,2025,9,7880,6863,1017
RDU,2025,10,8063,7023,1040
RDU,2025,11,6526,5684,842
RDU,2025,12,7739,6740,999
RDU,2026,1,6898,6008,890
RDU,2026,2,6711,5845,866
RDU,2026,3,7235,6302,933
RDU,2026,4,8637,7523,1114
RDU,2026,5,8883,7737,1146
RKD,2024,6,793,500,293
RKD,2024,7,830,523,307
RKD,2024,8,841,530,311
RKD,2024,9,788,496,292
RKD,2024,10,707,445,262
RKD,2024,11,612,385,227
RKD,2024,12,722,455,267
RKD,2025,1,648,408,240
RKD,2025,2,632,398,234
RKD,2025,3,756,476,280
RKD,2025,4,722,455,267
RKD,2025,5,871,549,322
RKD,2025,6,851,536,315
RKD,2025,7,898,566,332
RKD,2025,8,906,571,335
RKD,2025,9,793,500,293
RKD,2025,10,783,493,290
RKD,2025,11,725,457,268
RKD,2025,12,704,443,261
RKD,2026,1,658,414,244
RKD,2026,2,651,410,241
RKD,2026,3,709,447,262
RKD,2026,4,751,473,278
RKD,2026,5,818,515,303
RUT,2024,6,1231,690,541
RUT,2024,7,1266,709,557
RUT,2024,8,1267,710,557
RUT,2024,9,990,555,435
RUT,2024,10,1039,582,457
RUT,2024,11,903,506,397
RUT,2024,12,980,549,431
RUT,2025,1,950,532,418
RUT,2025,2,905,507,398
RUT,2025,3,999,560,439
RUT,2025,4,1021,572,449
RUT,2025,5,1143,640,503
RUT,2025,6,1182,662,520
RUT,2025,7,1159,649,510
RUT,2025,8,1274,714,560
RUT,2025,9,1056,592,464
RUT,2025,10,1026,575,451
RUT,2025,11,1005,563,442
RUT,2025,12,1018,570,448
RUT,2026,1,920,515,405
RUT,2026,2,850,476,374
RUT,2026,3,1060,594,466
RUT,2026,4,1083,607,476
RUT,2026,5,1169,655,514
SAN,2024,6,19917,16501,3416
SAN,2024,7,18354,15207,3147
SAN,2024,8,18438,15276,3162
SAN,2024,9,16623,13772,2851
SAN,2024,10,16387,13577,2810
SAN,2024,11,14116,11695,2421
SAN,2024,12,15617,12939,2678
SAN,2025,1,14770,12237,2533
SAN,2025,2,12737,10553,2184
SAN,2025,3,14982,12413,2569
SAN,2025,4,14832,12289,2543
SAN,2025,5,16265,13476,2789
SAN,2025,6,18067,14969,3098
SAN,2025,7,19114,15836,3278
SAN,2025,8,18695,15489,3206
SAN,2025,9,16698,13835,2863
SAN,2025,10,14653,12140,2513
SAN,2025,11,12575,10419,2156
SAN,2025,12,14538,12045,2493
SAN,2026,1,12476,10337,2139
SAN,2026,2,12853,10649,2204
SAN,2026,3,15005,12432,2573
SAN,2026,4,15377,12740,2637
SAN,2026,5,15936,13203,2733
SEA,2024,6,32543,31200,1343
SEA,2024,7,33387,32009,1378
SEA,2024,8,32174,30846,1328
SEA,2024,9,27454,26321,1133
SEA,2024,10,29456,28241,1215
SEA,2024,11,26469,25377,1092
SEA,2024,12,26872,25763,1109
SEA,2025,1,24748,23727,1021
SEA,2025,2,24520,23508,1012
SEA,2025,3,27858,26709,1149
SEA,2025,4,29151,27948,1203
SEA,2025,5,31519,30218,1301
SEA,2025,6,33650,32262,1388
SEA,2025,7,33190,31821,1369
SEA,2025,8,34227,32815,1412
SEA,2025,9,30432,29176,1256
SEA,2025,10,29658,28434,1224
SEA,2025,11,26862,25754,1108
SEA,2025,12,29881,28648,1233
SEA,2026,1,26200,25119,1081
SEA,2026,2,25032,23999,1033
SEA,2026,3,29037,27839,1198
SEA,2026,4,31199,29912,1287
SEA,2026,5,32214,30885,1329
SFO,2024,6,36778,35166,1612
SFO,2024,7,40366,38597,1769
SFO,2024,8,37931,36269,1662
SFO,2024,9,32179,30769,1410
SFO,2024,10,33911,32425,1486
SFO,2024,11,31853,30457,1396
SFO,2024,12,31969,30568,1401
SFO,2025,1,30556,29217,1339
SFO,2025,2,31048,29687,1361
SFO,2025,3,32017,30614,1403
SFO,2025,4,34394,32887,1507
SFO,2025,5,36871,35255,1616
SFO,2025,6,41401,39587,1814
SFO,2025,7,38642,36949,1693
SFO,2025,8,42621,40753,1868
SFO,2025,9,37004,35382,1622
SFO,2025,10,36842,35228,1614
SFO,2025,11,32733,31299,1434
SFO,2025,12,34497,32985,1512
SFO,2026,1,30498,29162,1336
SFO,2026,2,30612,29271,1341
SFO,2026,3,38138,36467,1671
SFO,2026,4,36370,34776,1594
SFO,2026,5,39827,38082,1745
SLC,2024,6,11688,9766,1922
SLC,2024,7,11106,9279,1827
SLC,2024,8,12196,10190,2006
SLC,2024,9,10061,8406,1655
SLC,2024,10,9485,7925,1560
SLC,2024,11,8951,7479,1472
SLC,2024,12,9445,7891,1554
SLC,2025,1,8085,6755,1330
SLC,2025,2,8054,6729,1325
SLC,2025,3,8974,7498,1476
SLC,2025,4,9590,8013,1577
SLC,2025,5,10562,8825,1737
SLC,2025,6,11733,9803,1930
SLC,2025,7,11528,9632,1896
SLC,2025,8,11476,9588,1888
SLC,2025,9,10151,8481,1670
SLC,2025,10,9940,8305,1635
SLC,2025,11,8669,7243,1426
SLC,2025,12,9333,7798,1535
SLC,2026,1,8447,7058,1389
SLC,2026,2,8669,7243,1426
SLC,2026,3,8474,7080,1394
SLC,2026,4,9123,7622,1501
SLC,2026,5,10433,8717,1716
SMF,2024,6,13641,11758,1883
SMF,2024,7,14899,12843,2056
SMF,2024,8,14945,12882,2063
SMF,2024,9,13253,11424,1829
SMF,2024,10,11738,10118,1620
SMF,2024,11,10652,9182,1470
SMF,2024,12,11383,9812,1571
SMF,2025,1,9930,8559,1371
SMF,2025,2,10650,9180,1470
SMF,2025,3,12032,10371,1661
SMF,2025,4,12199,10515,1684
SMF,2025,5,12397,10686,1711
SMF,2025,6,15406,13280,2126
SMF,2025,7,15312,13199,2113
SMF,2025,8,14665,12641,2024
SMF,2025,9,13286,11452,1834
SMF,2025,10,12819,11050,1769
SMF,2025,11,11052,9527,1525
SMF,2025,12,11587,9988,1599
SMF,2026,1,11551,9957,1594
SMF,2026,2,10678,9204,1474
SMF,2026,3,12354,10649,1705
SMF,2026,4,13206,11383,1823
SMF,2026,5,12815,11046,1769
SNA,2024,6,11270,10153,1117
SNA,2024,7,12455,11220,1235
SNA,2024,8,11020,9927,1093
SNA,2024,9,11042,9947,1095
SNA,2024,10,10896,9816,1080
SNA,2024,11,9951,8964,987
SNA,2024,12,10194,9183,1011
SNA,2025,1,9158,8250,908
SNA,2025,2,8844,7967,877
SNA,2025,3,10013,9020,993
SNA,2025,4,11310,10189,1121
SNA,2025,5,10945,9860,1085
SNA,2025,6,12565,11319,1246
SNA,2025,7,13091,11793,1298
SNA,2025,8,12188,10979,1209
SNA,2025,9,11600,10450,1150
SNA,2025,10,10520,9477,1043
SNA,2025,11,9603,8651,952
SNA,2025,12,10591,9541,1050
SNA,2026,1,9711,8748,963
SNA,2026,2,9143,8236,907
SNA,2026,3,10415,9382,1033
SNA,2026,4,11128,10025,1103
SNA,2026,5,11702,10542,1160
STL,2024,6,19184,16084,3100
STL,2024,7,18613,15605,3008
STL,2024,8,19005,15934,3071
STL,2024,9,16195,13578,2617
STL,2024,10,17342,14540,2802
STL,2024,11,15136,12690,2446
STL,2024,12,16263,13635,2628
STL,2025,1,14023,11757,2266
STL,2025,2,13931,11680,2251
STL,2025,3,15279,12810,2469
STL,2025,4,15592,13072,2520
STL,2025,5,18087,15164,2923
STL,2025,6,19331,16207,3124
STL,2025,7,22027,18468,3559
STL,2025,8,20648,17311,3337
STL,2025,9,17763,14893,2870
STL,2025,10,16756,14048,2708
STL,2025,11,15695,13159,2536
STL,2025,12,15636,13109,2527
STL,2026,1,14934,12521,2413
STL,2026,2,14112,11832,2280
STL,2026,3,17634,14784,2850
STL,2026,4,17814,14935,2879
STL,2026,5,18292,15336,2956
TPA,2024,6,12111,10497,1614
TPA,2024,7,13337,11560,1777
TPA,2024,8,13141,11390,1751
TPA,2024,9,11597,10052,1545
TPA,2024,10,11018,9550,1468
TPA,2024,11,10095,8750,1345
TPA,2024,12,10820,9378,1442
TPA,2025,1,9820,8511,1309
TPA,2025,2,9572,8296,1276
TPA,2025,3,10994,9529,1465
TPA,2025,4,11637,10086,1551
TPA,2025,5,12328,10685,1643
TPA,2025,6,12708,11014,1694
TPA,2025,7,13634,11817,1817
TPA,2025,8,13907,12054,1853
TPA,2025,9,11831,10254,1577
TPA,2025,10,11752,10186,1566
TPA,2025,11,11363,9849,1514
TPA,2025,12,10638,9220,1418
TPA,2026,1,10021,8686,1335
TPA,2026,2,9274,8038,1236
TPA,2026,3,11563,10022,1541
TPA,2026,4,11723,10161,1562
TPA,2026,5,12423,10767,1656
WST,2024,6,396,271,125
WST,2024,7,400,274,126
WST,2024,8,375,257,118
WST,2024,9,338,232,106
WST,2024,10,322,221,101
WST,2024,11,289,198,91
WST,2024,12,334,229,105
WST,2025,1,268,184,84
WST,2025,2,280,192,88
WST,2025,3,303,208,95
WST,2025,4,327,224,103
WST,2025,5,342,234,108
WST,2025,6,359,246,113
WST,2025,7,398,273,125
WST,2025,8,371,254,117
WST,2025,9,326,223,103
WST,2025,10,318,218,100
WST,2025,11,293,201,92
WST,2025,12,279,191,88
WST,2026,1,266,182,84
WST,2026,2,261,179,82
WST,2026,3,299,205,94
WST,2026,4,327,224,103
WST,2026,5,335,230,105
